,Unnamed: 0,Title,Company,Job_Type,Job_Link,Details,Day_Posted,Country,Governorate,City,Class,score
20,20,Data Entry Assistant,Puffin,Full Time,https://wuzzuf.net/jobs/p/F3cAtSEl2G8x-Data-Entry-Assistant-Puffin-Giza-Egypt,"Puffin - Sheikh Zayed, Giza, Egypt 2 months ago",,Egypt, Giza,Sheikh Zayed,Data Entry,0.929810643196106
21,21,Data Entry Specialist,IVAS,Full Time,https://wuzzuf.net/jobs/p/ZxdRacWoPWG6-Data-Entry-Specialist-IVAS-Giza-Egypt,"IVAS - Agouza, Giza, Egypt 2 months ago",,Egypt, Giza,Agouza,Data Entry,0.6799744963645935
22,22,Senior Data Modeler,eT3 - Tomorrow Information Technology,Full Time,https://wuzzuf.net/jobs/p/FPdivTRV2Elc-Senior-Data-Modeler-eT3---Tomorrow-Information-Technology-Cairo-Egypt,"eT3 - Tomorrow Information Technology - New Cairo, Cairo, Egypt 2 months ago",,Egypt, Cairo,New Cairo,Data Scientist,0.6314765810966492
23,23,Senior Data Scientist - Hybrid,Seoudi Supermarket,Full Time,https://wuzzuf.net/jobs/p/fEhxIuT0Zwak-Senior-Data-Scientist---Hybrid-Seoudi-Supermarket-Giza-Egypt,"Seoudi Supermarket - Sheikh Zayed, Giza, Egypt 2 months ago",,Egypt, Giza,Sheikh Zayed,Data Scientist,0.8902578353881836
24,24,Accountant Data Entry,Confidential,Full Time,https://wuzzuf.net/jobs/p/cy6bBOizSQxJ-Accountant-Data-Entry-Cairo-Egypt,"Confidential - Downtown, Cairo, Egypt 2 months ago",,Egypt, Cairo,,Data Entry,0.9425156712532043
25,25,Senior Data Engineer- Remote,GetTechForce.com,Full Time,https://wuzzuf.net/jobs/p/cfxbeiW3DnlW-Senior-Data-Engineer--Remote-GetTechForce-com-Cairo-Egypt,"GetTechForce.com - Cairo, Egypt 2 months ago",,Egypt,Cairo,,Data Engineer,0.7239731550216675
26,26,Magento Data Entry,Mazaya,Full Time,https://wuzzuf.net/jobs/p/LdfpU4twzJNd-Magento-Data-Entry-Mazaya-Cairo-Egypt,"Mazaya - New Cairo, Cairo, Egypt 2 months ago",,Egypt, Cairo,New Cairo,Data Entry,0.9206763505935669
27,27,"SAP Consultant "" business One""",Egast,Full Time,https://wuzzuf.net/jobs/p/Z9tJBXvJ0q7d-SAP-Consultant-business-One-Egast-Alexandria-Egypt,"Egast - Bab Sharq, Alexandria, Egypt 2 days ago",2 days ago,Egypt, Alexandria,Bab Sharq,Business Analyst,0.6914364695549011
28,28,Sales Analysis Supervisor,Nahdet Misr Publishing Group,Full Time,https://wuzzuf.net/jobs/p/2vaKu7cPCinQ-Sales-Analysis-Supervisor-Nahdet-Misr-Publishing-Group-Giza-Egypt,"Nahdet Misr Publishing Group - Mohandessin, Giza, Egypt 5 days ago",5 days ago,Egypt, Giza,Mohandessin,Business Analyst,0.5785170793533325
29,29,CFO,Nouvel Age,Full Time,https://wuzzuf.net/jobs/p/wNWW5czf7HZS-CFO-Nouvel-Age-Cairo-Egypt,"Nouvel Age - Nasr City, Cairo, Egypt 2 days ago",2 days ago,Egypt, Cairo,Nasr City,Business Analyst,0.265866219997406
30,30,Reservation Clerk,Brassbell,Full Time,https://wuzzuf.net/jobs/p/MnjZxnaGSBXC-Reservation-Clerk-Brassbell-Cairo-Egypt,"Brassbell - Zamalek, Cairo, Egypt 3 days ago",3 days ago,Egypt, Cairo,Zamalek,Data Entry,0.27645793557167053
31,31,Quality Control Manager,MTI Agri,Full Time,https://wuzzuf.net/jobs/p/WoUQPovbhHZ5-Quality-Control-Manager-MTI-Agri-Ismailia-Egypt,"MTI Agri - Altall Alkabir, Ismailia, Egypt 3 days ago",3 days ago,Egypt, Ismailia,,Business Analyst,0.21338772773742676
32,32,Quality Assurance Specialist,Wham Clinics ,Full Time,https://wuzzuf.net/jobs/p/EcIWvb3K7Yv9-Quality-Assurance-Specialist-Wham-Clinics-Alexandria-Egypt,"Wham Clinics  - Sidi Bishr, Alexandria, Egypt 12 days ago",,Egypt, Alexandria,Sidi Bishr,Business Analyst,0.21423818171024323
33,33,Claims Managment Internship,Medmark Insurance Brokerage,Internship,https://wuzzuf.net/internship/lr0f5QubdHml-Claims-Managment-Internship-Medmark-Insurance-Brokerage-Giza-Egypt,"Medmark Insurance Brokerage - Agouza, Giza, Egypt 6 days ago",6 days ago,Egypt, Giza,Agouza,Business Analyst,0.4527747631072998
34,34,Budgeting and planning Section Head,Decorative Glass And Arab Union Glass Group,Full Time,https://wuzzuf.net/jobs/p/Lm11pqXVM0HE-Budgeting-and-planning-Section-Head-Decorative-Glass-And-Arab-Union-Glass-Group-Cairo-Egypt,"Decorative Glass And Arab Union Glass Group - Obour City, Cairo, Egypt 6 days ago",6 days ago,Egypt, Cairo,Obour City,Business Analyst,0.7928269505500793
35,35,Global Crowd-Sourcing Specialist,LxT,Full Time,https://wuzzuf.net/jobs/p/wsVPbkoUi1Zs-Global-Crowd-Sourcing-Specialist-LxT-Giza-Egypt,"LxT - Agouza, Giza, Egypt 10 days ago",,Egypt, Giza,Agouza,Data Analyst,0.2738046646118164
36,36,Customer Service Agent ( Back Office ) - Mail&Chat ( English Account ),Etisalat Egypt,Full Time,https://wuzzuf.net/jobs/p/uemmmnqEnrf1-Customer-Service-Agent-Back-Office---MailChat-English-Account-Etisalat-Egypt-Cairo-Egypt,"Etisalat Egypt - Maadi, Cairo, Egypt 13 hours ago",13 hours ago,Egypt, Cairo,Maadi,Data Entry,0.23660075664520264
37,37,"Call center agent (Excellent English speakers)corporate account,Etisalat uae",Etisalat Egypt,Full Time,https://wuzzuf.net/jobs/p/80rp8EXP0Ldr-Call-center-agent-Excellent-English-speakerscorporate-accountEtisalat-uae-Etisalat-Egypt-Cairo-Egypt,"Etisalat Egypt - Maadi, Cairo, Egypt 19 hours ago",19 hours ago,Egypt, Cairo,Maadi,Business Analyst,0.3078590929508209
38,38,Industrial Quality Internship - Alexandria,Prometeon Tyres Group â€“ Egypt  (Ex-Pirelli Tyres Egypt),Internship,https://wuzzuf.net/internship/NuMknMW6AddE-Industrial-Quality-Internship---Alexandria-Prometeon-Tyres-Group-â€“-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt,"Prometeon Tyres Group â€“ Egypt  (Ex-Pirelli Tyres Egypt) - Ameria, Alexandria, Egypt 23 hours ago",23 hours ago,Egypt, Alexandria,Ameria,Business Analyst,0.2750205397605896
39,39,"Customer service representative/excellent English speakers (Etisalat UAE),graduates",Etisalat Egypt,Full Time,https://wuzzuf.net/jobs/p/HqMKduJLzCBN-Customer-service-representativeexcellent-English-speakers-Etisalat-UAEgraduates-Etisalat-Egypt-Cairo-Egypt,"Etisalat Egypt - Maadi, Cairo, Egypt 2 days ago",2 days ago,Egypt, Cairo,Maadi,Data Entry,0.22364148497581482
40,40,SAP Business Analyst,El Teriak Industrial Group,Full Time,https://wuzzuf.net/jobs/p/nApxv45w5Tnn-SAP-Business-Analyst-El-Teriak-Industrial-Group-Cairo-Egypt,"El Teriak Industrial Group - Cairo, Egypt 17 days ago",,Egypt,Cairo,,Business Analyst,0.9698836803436279
41,41,Team Member - Alexandria,Nando''s Australia PTY LTD,Full Time,https://wuzzuf.net/jobs/p/XuVfNmGsB1lm-Team-Member---Alexandria-Nandos-Australia-PTY-LTD-Alexandria-Egypt,"Nando''s Australia PTY LTD - Alexandria, Egypt 4 days ago",4 days ago,Egypt,Alexandria,,Data Scientist,0.20944176614284515
42,42,Financial Analyst,Professional Service - Proserv,Full Time,https://wuzzuf.net/jobs/p/eqX1GCgInkir-Financial-Analyst-Professional-Service---Proserv-Giza-Egypt,"Professional Service - Proserv - 6th of October, Giza, Egypt 4 days ago",4 days ago,Egypt, Giza,,Business Analyst,0.3342369794845581
43,43,Accounting Manager,El Negma Pasta Factory ,Full Time,https://wuzzuf.net/jobs/p/8y3x3Of387Tn-Accounting-Manager-El-Negma-Pasta-Factory-Cairo-Egypt,"El Negma Pasta Factory  - Shubra, Cairo, Egypt 12 days ago",,Egypt, Cairo,Shubra,Business Analyst,0.3809405267238617
44,44,Data Engineer,Second profit  ,Full Time,https://wuzzuf.net/jobs/p/AdX7WZmgcfku-Data-Engineer-Second-profit-Cairo-Egypt,"Second profit   - Nasr City, Cairo, Egypt 2 months ago",,Egypt, Cairo,Nasr City,Data Engineer,0.3696464002132416
45,45,Marketing Manager,Frenzy,Full Time,https://wuzzuf.net/jobs/p/gNoGVP4iSkvi-Marketing-Manager-Frenzy-Giza-Egypt,"Frenzy - 6th of October, Giza, Egypt 19 days ago",,Egypt, Giza,,Business Analyst,0.3620563745498657
46,46,Requirements and Configuration Engineer,Alstom,Full Time,https://wuzzuf.net/jobs/p/zUCijtqInoGg-Requirements-and-Configuration-Engineer-Alstom-Cairo-Egypt,"Alstom - New Cairo, Cairo, Egypt 11 days ago",,Egypt, Cairo,New Cairo,Business Analyst,0.2136487066745758
47,47,Project Manager - Data Networks (ICT),SABA,Full Time,https://wuzzuf.net/jobs/p/ZNlR1cf03pNL-Project-Manager---Data-Networks-ICT-SABA-Cairo-Egypt,"SABA - Heliopolis, Cairo, Egypt 2 months ago",,Egypt, Cairo,,Data Architect,0.22847315669059753
48,48,Project Coordinator,LxT,Full Time,https://wuzzuf.net/jobs/p/BUUa6azIBusp-Project-Coordinator-LxT-Giza-Egypt,"LxT - Agouza, Giza, Egypt 19 days ago",,Egypt, Giza,Agouza,Business Analyst,0.24361643195152283
49,49,Market Research Specialist,Confidential,Full Time,https://wuzzuf.net/jobs/p/zCCdrzYr6RJ4-Market-Research-Specialist-Cairo-Egypt,"Confidential - Heliopolis, Cairo, Egypt 20 days ago",,Egypt, Cairo,,Data Analyst,0.3110169768333435
50,50,Secretary,Mazzika Group,Full Time,https://wuzzuf.net/jobs/p/hJf9ivVc6Ulr-Secretary-Mazzika-Group-Giza-Egypt,"Mazzika Group - Dokki, Giza, Egypt 12 days ago",,Egypt, Giza,Dokki,Data Entry,0.28104040026664734
51,51,iOS Developer,Confidential,Full Time,https://wuzzuf.net/jobs/p/fCB4TODPH37Y-iOS-Developer-Cairo-Egypt,"Confidential - Cairo, Egypt 16 days ago",,Egypt,Cairo,,Data Entry,0.23207606375217438
52,52,General Accountant,Sierra Engineering & Manufacturing,Full Time,https://wuzzuf.net/jobs/p/yCUAHpH4mftf-General-Accountant-Sierra-Engineering-Manufacturing-Cairo-Egypt,"Sierra Engineering & Manufacturing - Cairo, Egypt 18 days ago",,Egypt,Cairo,,Business Analyst,0.3577274978160858
53,53,Fitness Data Entry Clerk,TEMPO,Full Time,https://wuzzuf.net/jobs/p/05HYTf3CYQVM-Fitness-Data-Entry-Clerk-TEMPO-Cairo-Egypt,"TEMPO - New Cairo, Cairo, Egypt 2 months ago",,Egypt, Cairo,New Cairo,Data Entry,0.9191929697990417
54,54,Data Entry Clerk,Air Arabia,Full Time,https://wuzzuf.net/jobs/p/nVMcqHr2VOLH-Data-Entry-Clerk-Air-Arabia-Giza-Egypt,"Air Arabia - Mohandessin, Giza, Egypt 2 months ago",,Egypt, Giza,Mohandessin,Data Entry,0.9643691778182983
55,55,Audit & Compliance Senior Supervisor,Xceed Contact Center,Full Time,https://wuzzuf.net/jobs/p/RhYlkUmmyDYE-Audit-Compliance-Senior-Supervisor-Xceed-Contact-Center-Cairo-Egypt,"Xceed Contact Center - Maadi, Cairo, Egypt 19 days ago",,Egypt, Cairo,Maadi,Business Analyst,0.3390805125236511
56,56,Backoffice Administration,Raya Holding for Financial Investments,Full Time,https://wuzzuf.net/jobs/p/lxCYcYPjHruM-Backoffice-Administration-Raya-Holding-for-Financial-Investments-Cairo-Egypt,"Raya Holding for Financial Investments - Cairo, Egypt 17 days ago",,Egypt,Cairo,,Data Entry,0.2820272147655487
57,57,Market Research - Intern,Elabd Foods,Internship,https://wuzzuf.net/internship/Ywpf445d9NNN-Market-Research---Intern-Elabd-Foods-Giza-Egypt,"Elabd Foods - Abu Rawash, Giza, Egypt 24 days ago",,Egypt, Giza,Abu Rawash,Data Analyst,0.3002203404903412
58,58,Business Analyst - Multinational Company,Pillars,Full Time,https://wuzzuf.net/jobs/p/F78mPjBYWBQe-Business-Analyst---Multinational-Company-Pillars-Cairo-Egypt,"Pillars - Cairo, Egypt 25 days ago",,Egypt,Cairo,,Business Analyst,0.983986496925354
59,59,Business Analyst,Aman,Full Time,https://wuzzuf.net/jobs/p/cvAcU0DiRsLQ-Business-Analyst-Aman-Giza-Egypt,"Aman - 6th of October, Giza, Egypt 23 days ago",,Egypt, Giza,,Business Analyst,0.9647817611694336
60,60,Market Researcher,Confidential,Full Time,https://wuzzuf.net/jobs/p/KJJfeZ2ZsAI1-Market-Researcher-Giza-Egypt,"Confidential - Giza, Egypt 26 days ago",,Egypt,Giza,,Business Analyst,0.5746093988418579
61,61,Supply Chain Planner,Jaffangroup,Full Time,https://wuzzuf.net/jobs/p/2g4BfVCStjFg-Supply-Chain-Planner-Jaffangroup-Cairo-Egypt,"Jaffangroup - Obour City, Cairo, Egypt 26 days ago",,Egypt, Cairo,Obour City,Business Analyst,0.2970447242259979
62,62,Senior Quality Assurance,Royal Herbs ,Full Time,https://wuzzuf.net/jobs/p/QXFxVQiBD8ag-Senior-Quality-Assurance-Royal-Herbs-Giza-Egypt,"Royal Herbs  - 6th of October, Giza, Egypt 23 days ago",,Egypt, Giza,,Business Analyst,0.2808622717857361
63,63,Office Administrator,International British House,Full Time,https://wuzzuf.net/jobs/p/RwMeNnmG3qWY-Office-Administrator-International-British-House-Cairo-Egypt,"International British House - Nasr City, Cairo, Egypt 26 days ago",,Egypt, Cairo,Nasr City,Data Entry,0.23524679243564606
64,64,Fulfillment Manager,Nacita,Full Time,https://wuzzuf.net/jobs/p/oOYsng0ors7G-Fulfillment-Manager-Nacita-Cairo-Egypt,"Nacita - Cairo, Egypt 24 days ago",,Egypt,Cairo,,Business Analyst,0.20600378513336182
65,65,Warehouse Manager,Confidential,Full Time,https://wuzzuf.net/jobs/p/a9WQB7DeViah-Warehouse-Manager-Cairo-Egypt,"Confidential - Cairo, Egypt 24 days ago",,Egypt,Cairo,,Data Entry,0.2883947193622589
66,66,"Customer service backoffice (mail&chat)English account,graduates",Etisalat Egypt,Full Time,https://wuzzuf.net/jobs/p/chxwbEXku5aL-Customer-service-backoffice-mailchatEnglish-accountgraduates-Etisalat-Egypt-Cairo-Egypt,"Etisalat Egypt - Maadi, Cairo, Egypt 22 days ago",,Egypt, Cairo,Maadi,Business Analyst,0.28982987999916077
67,67,Elite customer service account (English account) fluent English speakers (Etisalat UAE)Graduates,Etisalat Egypt,Full Time,https://wuzzuf.net/jobs/p/mQ2AQtvGY5OU-Elite-customer-service-account-English-account-fluent-English-speakers-Etisalat-UAEGraduates-Etisalat-Egypt-Cairo-Egypt,"Etisalat Egypt - Maadi, Cairo, Egypt 23 days ago",,Egypt, Cairo,Maadi,Business Analyst,0.21149663627147675
68,68,Collector,Mobi Egypt,Full Time,https://wuzzuf.net/jobs/p/Myc2oPUjaFkN-Collector-Mobi-Egypt-Cairo-Egypt,"Mobi Egypt - Maadi, Cairo, Egypt 23 days ago",,Egypt, Cairo,Maadi,Data Entry,0.3029191493988037
69,69,Analyst - Real Estate Strategy & Consulting,Knight Frank,Full Time,https://wuzzuf.net/jobs/p/gwPibaV0PM5L-Analyst---Real-Estate-Strategy-Consulting-Knight-Frank-Cairo-Egypt,"Knight Frank - Cairo, Egypt 26 days ago",,Egypt,Cairo,,Business Analyst,0.3133239448070526
70,70,Product Owner,Confidential,Full Time,https://wuzzuf.net/jobs/p/PuVZ1QpP9ob7-Product-Owner-Cairo-Egypt,"Confidential - Cairo, Egypt 26 days ago",,Egypt,Cairo,,Data Entry,0.22274962067604065
71,71,Customer Service Officer - Entertainment Sector,Talaat Moustafa Group,Full Time,https://wuzzuf.net/jobs/p/rViH16z23K7d-Customer-Service-Officer---Entertainment-Sector-Talaat-Moustafa-Group-Cairo-Egypt,"Talaat Moustafa Group - Cairo, Egypt 26 days ago",,Egypt,Cairo,,Business Analyst,0.2393283247947693
72,72,Call center agent/excellent English speakers (Etisalat Emirates UAE)Graduates,Etisalat Egypt,Full Time,https://wuzzuf.net/jobs/p/fBuJAiN5CowG-Call-center-agentexcellent-English-speakers-Etisalat-Emirates-UAEGraduates-Etisalat-Egypt-Cairo-Egypt,"Etisalat Egypt - Maadi, Cairo, Egypt 24 days ago",,Egypt, Cairo,Maadi,Data Entry,0.30560681223869324
73,73,Senior Field Marketing Specialist,Fawry Microfinance ,Full Time,https://wuzzuf.net/jobs/p/Poot7Oxlsw9Z-Senior-Field-Marketing-Specialist-Fawry-Microfinance-Cairo-Egypt,"Fawry Microfinance  - Maadi, Cairo, Egypt 27 days ago",,Egypt, Cairo,Maadi,Business Analyst,0.2807610034942627
74,74,Senior Customer Insights Analyst (CX),MRSOOL Inc,Full Time,https://wuzzuf.net/jobs/p/E9RUW42MuIp7-Senior-Customer-Insights-Analyst-CX-MRSOOL-Inc-Cairo-Egypt,"MRSOOL Inc - Cairo, Egypt 28 days ago",,Egypt,Cairo,,Data Analyst,0.273453950881958
75,75,Customer Service Representative/Etisalat UAE (Excellent English speakers)graduates,Etisalat Egypt,Full Time,https://wuzzuf.net/jobs/p/XHS1Irv6W1Ao-Customer-Service-RepresentativeEtisalat-UAE-Excellent-English-speakersgraduates-Etisalat-Egypt-Cairo-Egypt,"Etisalat Egypt - Maadi, Cairo, Egypt 26 days ago",,Egypt, Cairo,Maadi,Business Analyst,0.2173849493265152
76,76,Sales Analyst,Nahdet Misr Publishing Group,Full Time,https://wuzzuf.net/jobs/p/ICFPyVIvCeZm-Sales-Analyst-Nahdet-Misr-Publishing-Group-Giza-Egypt,"Nahdet Misr Publishing Group - Mohandessin, Giza, Egypt 1 month ago",,Egypt, Giza,Mohandessin,Business Analyst,0.46213388442993164
77,77,Digital Marketing Specialist,iproperties,Full Time,https://wuzzuf.net/jobs/p/cuFesFEtdYsZ-Digital-Marketing-Specialist-iproperties-Cairo-Egypt,"iproperties - New Cairo, Cairo, Egypt 27 days ago",,Egypt, Cairo,New Cairo,Data Analyst,0.21076516807079315
78,78,Liabilities & Insurance Unit Head,Mashreqbank PSC,Full Time,https://wuzzuf.net/jobs/p/N3c2Bd4Bx2Vv-Liabilities-Insurance-Unit-Head-Mashreqbank-PSC-Cairo-Egypt,"Mashreqbank PSC - Cairo, Egypt 28 days ago",,Egypt,Cairo,,Business Analyst,0.20370779931545258
80,80,Financial Analyst - Innoventures,Cultiv,Full Time,https://wuzzuf.net/jobs/p/ZJYCWLP57bij-Financial-Analyst---Innoventures-Cultiv-Cairo-Egypt,"Cultiv - Heliopolis, Cairo, Egypt 1 month ago",,Egypt, Cairo,,Business Analyst,0.31662917137145996
81,81,Front End Developer (Vue.js),Dafa,Full Time,https://wuzzuf.net/jobs/p/sykiL6XJ3Xuw-Front-End-Developer-Vuejs-Dafa-Giza-Egypt,"Dafa - Haram, Giza, Egypt 1 month ago",,Egypt, Giza,Haram,Data Entry,0.261226087808609
82,82,Customer service representative (Fluent English speakers) Etisalat UAE/Elite English account.,Etisalat Egypt,Full Time,https://wuzzuf.net/jobs/p/I3YJktNORJAC-Customer-service-representative-Fluent-English-speakers-Etisalat-UAEElite-English-account-Etisalat-Egypt-Cairo-Egypt,"Etisalat Egypt - Maadi, Cairo, Egypt 1 month ago",,Egypt, Cairo,Maadi,Business Analyst,0.2282038778066635
83,83,BI Developer,GPS,Full Time,https://wuzzuf.net/jobs/p/WZuXOwvLaOSl-BI-Developer-GPS-Cairo-Egypt,"GPS - Heliopolis, Cairo, Egypt 1 month ago",,Egypt, Cairo,,Business Analyst,0.29746705293655396
84,84,Non-voice customer service/English account (mail&chat)graduates,Etisalat Egypt,Full Time,https://wuzzuf.net/jobs/p/cUyme2DztUy2-Non-voice-customer-serviceEnglish-account-mailchatgraduates-Etisalat-Egypt-Cairo-Egypt,"Etisalat Egypt - Maadi, Cairo, Egypt 1 month ago",,Egypt, Cairo,Maadi,Data Entry,0.2293374240398407
85,85,Financial Analyst,Talaat Moustafa Group,Full Time,https://wuzzuf.net/jobs/p/q2riVueD168d-Financial-Analyst-Talaat-Moustafa-Group-Giza-Egypt,"Talaat Moustafa Group - Giza, Egypt 1 month ago",,Egypt,Giza,,Business Analyst,0.3342369794845581
86,86,English Content Writer,Casita,Full Time,https://wuzzuf.net/jobs/p/QQ8E1W8hthps-English-Content-Writer-Casita-Giza-Egypt,"Casita - Dokki, Giza, Egypt 1 month ago",,Egypt, Giza,Dokki,Data Entry,0.23054687678813934
87,87,senior outsystems developer,Centione,Full Time,https://wuzzuf.net/jobs/p/udGsV4hsF95v-senior-outsystems-developer-Centione-Cairo-Egypt,"Centione - Nasr City, Cairo, Egypt 1 month ago",,Egypt, Cairo,Nasr City,Data Engineer,0.199394091963768
88,88,Application Support Agent,Waseet.net,Full Time,https://wuzzuf.net/jobs/p/u8rIRs24BtY2-Application-Support-Agent-Waseet-net-Cairo-Egypt,"Waseet.net - Heliopolis, Cairo, Egypt 1 month ago",,Egypt, Cairo,,Business Analyst,0.18732088804244995
89,89,"Customer service Non-voice (backoffice mail&chat) English account,graduates",Etisalat Egypt,Full Time,https://wuzzuf.net/jobs/p/G9piE1rGEBqs-Customer-service-Non-voice-backoffice-mailchat-English-accountgraduates-Etisalat-Egypt-Cairo-Egypt,"Etisalat Egypt - Maadi, Cairo, Egypt 1 month ago",,Egypt, Cairo,Maadi,Business Analyst,0.2810775935649872
90,90,Administration Clerk,INDEVCO,Full Time,https://wuzzuf.net/jobs/p/eNRZZC3tn2Gw-Administration-Clerk-INDEVCO-Giza-Egypt,"INDEVCO - 6th of October, Giza, Egypt 1 month ago",,Egypt, Giza,,Data Entry,0.3422616720199585
